"ID","Titulo","Epica","StoryPoints","Sprint","Estado","Disciplina"
"DOC-01","Plan de Gestión del Proyecto (DOC-MGT-001)","Gestión","5","Sprint 1","Done","AF / PM"
"DOC-02","Especificación Funcional y Backlog (DOC-REQ-002)","Gestión","8","Sprint 1","Done","AF"
"DOC-03","Arquitectura y Diseño Técnico (DOC-ARC-003)","Gestión","5","Sprint 2","Done","Tech / AF"
"DOC-MAP","User Story Mapping y Flujo de 5 Pasos","Gestión","3","Sprint 1","Done","AF / UX"
"UH-01","Autenticación de Usuarios por Rol","EP-01","2","Sprint 2","Done","Backend"
"UH-02","Control de Permisos por Perfil (RBAC)","EP-01","2","Sprint 2","Done","Backend"
"UH-03","Auditoría Básica de Acceso","EP-01","2","Sprint 3","Done","Backend"
"UH-04","Cierre de Sesión Seguro","EP-01","1","Sprint 3","Done","Frontend"
"UH-05","Formulario Unificado de Alta de Ticket","EP-02","3","Sprint 2","Done","Backend API"
"UH-06","Selección de Plataforma / Categoría","EP-02","2","Sprint 2","Done","Backend"
"UH-07","Vinculación con Cliente Institucional","EP-02","2","Sprint 2","Done","Backend"
"UH-08","Tipificación de la Solicitud","EP-02","2","Sprint 2","Done","Backend"
"UH-09","Asignación de Prioridad (P = I × U)","EP-02","3","Sprint 2","Done","Backend / UX"
"UH-10","Adjunto de Evidencias","EP-02","2","Sprint 3","Done","Frontend"
"UH-11","Consulta y Edición Básica de Ticket","EP-02","1","Sprint 3","Done","Frontend"
"UH-12","Bandeja de Entrada de Solicitudes","EP-03","3","Sprint 2","Done","Backend API"
"UH-13","Asignación de Responsable de Soporte","EP-03","2","Sprint 2","Done","Backend"
"UH-14","Autoasignación Directa ('Tomar Ticket')","EP-03","1","Sprint 3","Done","Frontend"
"UH-15","Derivación a Nivel de Soporte (N2/N3)","EP-03","2","Sprint 3","Done","Backend"
"UH-16","Reasignación de Responsable con Motivo","EP-03","2","Sprint 4","Done","Backend / QA"
"UH-17","Transición de Estado a 'En Curso'","EP-04","2","Sprint 2","Done","Backend"
"UH-18","Pausa de Gestión por Info Pendiente","EP-04","2","Sprint 2","Done","Backend"
"UH-19","Registro Obligatorio de Solución","EP-04","3","Sprint 2","Done","Backend"
"UH-20","Registro de Solución Provisoria (Workaround)","EP-04","3","Sprint 4","Done","Backend / UX"
"UH-21","Transición a Estado 'Resuelto'","EP-04","2","Sprint 2","Done","Backend"
"UH-22","Transición a Estado 'Cerrado'","EP-04","2","Sprint 4","Done","Backend / QA"
"UH-23","Comentarios Públicos de Seguimiento","EP-05","2","Sprint 4","Done","Frontend / Backend"
"UH-24","Notas Internas Privadas para Soporte","EP-05","2","Sprint 4","Done","Backend"
"UH-25","Avisos Básicos de Notificación","EP-05","2","Sprint 4","Done","Frontend"
"UH-26","Aviso Destacado de Ticket Resuelto","EP-05","1","Sprint 4","Done","Frontend"
"UH-27","Historial y Trazabilidad de Cambios","EP-05","2","Sprint 4","Done","Backend / QA"
"UH-28","Interfaz Cockpit en Pantalla Única (3 Col)","EP-06","6","Sprint 3","Done","UX / Frontend"
"UH-29","Selector Rápido de Rol en 1 Clic","EP-06","3","Sprint 3","Done","Frontend"
"UH-30","Listado, Búsqueda y Filtros Rápidos","EP-06","4","Sprint 3","Done","Frontend"
"UH-31","Administración de Usuarios y Roles","EP-06","4","Sprint 2","Done","Backend API"
"UH-32","Administración de Categorías y Prioridades","EP-06","3","Sprint 2","Done","Backend API"
"QA-E2E-01","Validación E2E: Flujo Solicitante y Cálculo P=IxU","QA-E2E","3","Sprint 4","Done","QA Funcional"
"QA-E2E-02","Validación E2E: Triage Soporte N2 y Notas Internas","QA-E2E","3","Sprint 4","Done","QA Funcional"
"QA-E2E-03","Validación E2E: Guardrail Resolución >= 8 car y Workaround","QA-E2E","2","Sprint 4","Done","QA Funcional"
"QA-E2E-04","Validación E2E: Cierre Definitivo e Inmutabilidad FSM","QA-E2E","2","Sprint 4","Done","QA Funcional"
"QA-E2E-05","Validación E2E: Caja Negra de Auditoría Sanitaria","QA-E2E","3","Sprint 4","Done","QA / Compliance"
"QA-E2E-06","Validación E2E: Integridad 9 Plataformas y 14 Clientes","QA-E2E","2","Sprint 4","Done","QA Funcional"
"QA-E2E-07","Benchmark de Rendimiento API (<15ms) y Concurrencia","QA-E2E","2","Sprint 4","Done","Performance"
"DOC-05","Manual Operativo de Usuario y Guía de Gestión (DOC-MAN-005)","Gestión","5","Sprint 5","Done","AF / Operaciones"
"UH-33","Barra de Métricas de Guardia y Triage en Tiempo Real","EP-06","3","Sprint 5","Done","Frontend / API"
"UH-34","Exportación Directa a CSV / Excel de la Bandeja","EP-06","2","Sprint 5","Done","Frontend / Data"
"UH-35","Servicio de Notificaciones por Email ante Eventos FSM y Alertas P1","EP-06","3","Sprint 5","Done","Backend / Notificaciones"
"REL-01","Línea Base Operativa y Pase a Producción v1.0","Gestión","2","Sprint 5","Done","Comité / AF"
